compound_id	smiles
cpd02060	CCCCCCCCC/C=C/C(=O)SCCN=C([O-])CCN=C([O-])C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]
cpd08123	CC([NH3+])(CO)CO
cpd23355	CC(=O)O[C@@H]1C2c3cccc4c3C(=C[NH2+]4)C[C@H]2N(C)C[C@H]1C
cpd01788	O=C([O-])CCCCCCCCCO
cpd20912	CC(C)[C@@H](C)CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CCC4CCCC[C@]4(C)[C@H]3CC[C@@]21C
cpd05265	OC[C@]1(O)[C@H](O)OC[C@@H](O)[C@H]1O
cpd04717	COc1cc2c3cc1Oc1cc(ccc1O)C[C@@H]1c4c(cc(OC)c(O)c4Oc4ccc(cc4)C[C@@H]3N(C)CC2)CC[N+]1(C)C
cpd08886	O=C([O-])C1CCCCCC1
cpd07806	C=CC(=O)OCCCC
cpd25165	CCCCCCCC/C=C\CCCCCCCC(=O)OC(COC(=O)CCCCCCCCCCCCCCCCC)COC1OC(CO)C(O)C(O)C1O
cpd26401	CCCCC/C=C\[C@@H](/C=C\CCCCCCCC(=O)[O-])OO
cpd26345	C1=Nc2[nH]cnc2C2=NCCN12
cpd14614	C/C(=C\Cc1cc(O)c(C)c(C)c1O)CCC[C@H](C)CCC[C@H](C)CCCC(C)C
cpd28213	Clc1ccc(N2N=NC3C4CC(C5N=NC45)C32)cc1
cpd15477	CCCCCCCCCCCCCC(=O)O[C@H](CCCCCCCCCCC)CC(=O)O[C@H]1[C@H](OP(=O)([O-])[O-])C(COC2(C(=O)[O-])CC(OC3(C(=O)[O-])CC(OC4(C(=O)[O-])CC(O)C(O)C(C(O)CO)O4)C(OC4OC(C)C(O)C(O)C4O)C(C(O)CO)O3)C(OC3OC(C(O)CO)C(OP(=O)([O-])[O-])C(OC4OC(C(O)COC5OC(C(O)CO)C(O)C(O)C5O)C(OP(=O)([O-])[O-])C(OC5OC(COC6OC(CO)C(O)C(O)C6O)C(O)C(OC6OC(CO)C(O)C(O)C6OC6OC(CO)C(O)C(O)C6O)C5O)C4O)C3O)C(C(O)CO)O2)O[C@@H](OC[C@H]2OC(OP(=O)(O)O)[C@H](N=C([O-])C[C@H](O)CCCCCCCCCCC)[C@@H](OC(=O)C[C@H](O)CCCCCCCCCCC)[C@@H]2O)[C@@H]1N=C([O-])C[C@@H](CCCCCCCCCCC)OC(=O)CCCCCCCCCCC
cpd04010	CCOP(=O)(OCC)Oc1ccc([N+](=O)[O-])cc1
cpd02790	COc1cc2oc(-c3ccc(O)c(O)c3)c(OC)c(=O)c2c(O)c1O
cpd19184	C/C=C1/N(C)C(C)CC1(c1ccccc1)c1ccccc1
cpd03142	C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C=O)[C@@H]1CCC2=O
cpd02567	O=P([O-])([O-])OC[C@H]1O[C@H](OP(=O)([O-])[O-])C[C@@H]1O
cpd26450	CCCCCCCCCCCCCCCCCC(=O)OC(CO)COP(=O)(O)OCCN
cpd20292	Clc1ccc(Sc2cc(Cl)c(Cl)cc2Cl)cc1
cpd21232	CCCCC[C@H](O)/C=C/C=C/C#CC#CCCCO
cpd08358	O=c1nc([O-])ccn1[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])O[C@H]2O[C@H](CS(=O)(=O)O)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@H]1O
cpd03564	CC(C)(COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)([O-])[O-])C(O)C([O-])=NCCC([O-])=NCCSC(=O)CC=O
cpd07959	CCN=C(O)[C@H](C)OC(O)=Nc1ccccc1
cpd17341	C/C1=C\CC[C@]2(C)O[C@@H]2C(=O)c2c(C)coc2C1
cpd22726	C[C@@H](C=O)CCC[C@@H](C)[C@H]1CC[C@H]2[C@H]3[C@H](CC[C@@]21C)[C@@]1(C)CC[C@@H](O)C[C@H]1C[C@H]3O
cpd25508	O=C(OC[C@H]1O[C@@H](OC(=O)c2cc(O)c(O)c(O)c2)[C@H](OC(=O)c2cc(O)c(O)c(OC(=O)c3cc(O)c(O)c(O)c3)c2)[C@@H](OC(=O)c2cc(O)c(O)c(O)c2)[C@@H]1OC(=O)c1cc(O)c(O)c(O)c1)c1cc(O)c(O)c(O)c1
cpd02673	O=C(O)C(O)Cc1cc(I)c([O-])c(I)c1
cpd17953	C[C@H]1O[C@H](O[C@@H]2[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)[C@H]2O)[C@@H]([NH3+])C[C@@H]1N=C(N)C(=O)O
cpd11270	CC(C)(Sc1ccc(CCN(CCCCC2CCCCC2)C(O)=NC2CCCCC2)cc1)C(=O)[O-]
cpd00916	O=P([O-])([O-])O[C@H]1[C@H](O)[C@@H](OP(=O)([O-])[O-])[C@H](OP(=O)([O-])[O-])[C@@H](O)[C@H]1O
cpd03177	NN
cpd20614	O=S(=O)([O-])c1ccc(/N=N/c2cc(S(=O)(=O)O)c3ccccc3c2[O-])c2ccccc12.[Na+].[Na+]
cpd19894	COC(=O)[C@@H]1c2cc3c(c(O)c2[C@@H](O)C[C@]1(C)O)C(=O)c1c(O)cccc1C3=O
cpd06168	COc1c2c(cc3ccc(=O)oc13)C=CC(C)(C)O2
cpd07706	C[C@H]1CC[C@H]2[C@@H](C)[C@H]3[C@H](C[C@H]4[C@@H]5CC=C6C[C@@H](O[C@@H]7O[C@H](CO)[C@H](O)[C@H](O[C@@H]8O[C@H](CO)[C@@H](O)[C@H](O)[C@H]8O)[C@H]7O[C@@H]7O[C@@H](C)[C@H](O)[C@@H](O)[C@H]7O)CC[C@]6(C)[C@H]5CC[C@@]43C)[NH+]2C1
cpd23824	C1=CC[NH+]=C1
cpd11025	CC1(C)C(=O)CC[C@@]2(C)C1=CC[C@H]1[C@@H]3CC[C@H](O)[C@@]3(C)CC[C@@H]12
cpd19650	COc1cc([N-]S(=O)(=O)c2ccc(N)cc2)nc(OC)n1.[Na+]
cpd11413	O=C1C(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)Oc2ccccc2N1O
cpd24645	CC(C)=CCc1c(O)cc(O)c2c(=O)c(-c3ccc([O-])cc3O)coc12
cpd10667	O=c1oc2cc(N=C(O)C(F)(F)F)ccc2c2ccccc12
cpd25815	COc1c([O-])c(C=O)c2c(c1C(C)C)C(=O)C1(C)CC=C(C)C(CC=C(C)C)C1C2=O
cpd13403	CC(O)=N[C@H]1[C@@H](O[C@@H]2O[C@H](CC(O)[C@H]3O[C@@H](n4ccc(O)nc4=O)[C@H](O)[C@@H]3O)[C@H](O)[C@H](O)[C@H]2N=C(O)/C=C/CC(C)C)O[C@H](CO)[C@@H](O)[C@@H]1O
cpd06267	C[NH+]1CCc2cc3c(cc2[C@@H]1[C@@H]1OC(=O)c2c1ccc1c2OCO1)OCO3
